Left Belt Velocity Profile:
0.0,0.050000000000000003,0.10000000000000001,0.15000000000000002,0.20000000000000001,0.25,0.30000000000000004,0.35000000000000003,0.40000000000000002,0.45000000000000001,0.5,0.55000000000000004,0.59999999999999998,0.64999999999999991,0.69999999999999996,0.75,0.80000000000000004,0.84999999999999998,0.90000000000000002,0.94999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Right Belt Velocity Profile:
0.0,0.050000000000000003,0.10000000000000001,0.15000000000000002,0.20000000000000001,0.25,0.30000000000000004,0.35000000000000003,0.40000000000000002,0.45000000000000001,0.5,0.55000000000000004,0.59999999999999998,0.64999999999999991,0.69999999999999996,0.75,0.80000000000000004,0.84999999999999998,0.90000000000000002,0.94999999999999996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Incline Angle
0
FrameNumber,Rfz,Lfz,RHS,LHS,RTO,LTO,Pause,RBSsent,LBSsent,RBSread,LBSread,incang_read
38079,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38080,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
38081,0.0,21.543633,0,0,0,0,0,nan,nan,nan,nan,nan
38082,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38083,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38084,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
38085,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38086,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38087,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38088,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
38089,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38090,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38091,0.0,21.543633,0,0,0,0,0,nan,nan,nan,nan,nan
38092,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
38093,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38094,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
38095,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38096,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38097,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38098,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
38099,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38100,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
38101,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
38102,0.0,25.388847,0,0,0,0,0,nan,nan,nan,nan,nan
38103,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38104,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38105,0.0,22.642265,0,0,0,0,0,nan,nan,0,0,0
38106,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38107,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38108,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
38109,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38110,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
38111,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38112,0.0,24.839531,0,0,0,0,0,nan,nan,nan,nan,nan
38113,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38114,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38115,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38116,0.0,21.543633,0,0,0,0,0,nan,nan,nan,nan,nan
38117,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38118,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38119,0.0,22.092949,0,0,0,0,0,nan,nan,nan,nan,nan
38120,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38121,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38122,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38123,0.0,23.740898,0,0,0,0,0,nan,nan,0,0,0
38124,0.0,21.543633,0,0,0,0,0,nan,nan,nan,nan,nan
38125,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38126,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
38127,0.0,23.740898,0,0,0,0,0,nan,nan,nan,nan,nan
38128,0.0,24.290215,0,0,0,0,0,nan,nan,nan,nan,nan
38129,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38130,0.0,22.642265,0,0,0,0,0,nan,nan,nan,nan,nan
38131,0.0,23.191582,0,0,0,0,0,nan,nan,nan,nan,nan
